route_name,time_period_name,predicted_load
1,NIGHT,4.053376268610462
10,NIGHT,4.041960935277128
100,NIGHT,4.046558489389683
101,NIGHT,4.371993104434472
104,NIGHT,4.6029340684999225
105,NIGHT,4.643997305514026
106,NIGHT,4.914010320781889
108,NIGHT,4.967395704184694
109,NIGHT,4.865421144481326
11,NIGHT,4.840674795274978
110,NIGHT,4.848754439759753
111,NIGHT,4.864928646108959
112,OFF_PEAK,5.396915832252828
114,OFF_PEAK,5.627300182008351
116,OFF_PEAK,5.63987726926756
117,OFF_PEAK,5.503605191365802
119,OFF_PEAK,5.468538597093211
120,NIGHT,5.293814601263396
121,NIGHT,5.28354285523165
131,NIGHT,5.235937576124793
132,NIGHT,5.146306094044781
134,VERY_EARLY_MORNING,4.9688406249197525
136,VERY_EARLY_MORNING,4.942564773067901
137,VERY_EARLY_MORNING,4.869826815216385
14,VERY_EARLY_MORNING,4.900989845519415
15,VERY_EARLY_MORNING,4.816416105014175
16,VERY_EARLY_MORNING,5.031713995878047
17,VERY_EARLY_MORNING,5.104956135560423
170,VERY_EARLY_MORNING,5.113703174776109
